County of Residence,County of Residence Code,Mother's Single Race 6,Mother's Single Race 6 Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Mother's Nativity,Mother's Nativity Code,Births,Average Number of Prenatal Visits
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,8th grade or less,1,Born in the U.S. (50 US States),1,153,7.45
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,67,8.1
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,88,10.84
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,12,10.83
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,84,11.96
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,13,12.92
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,65,12.06
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,185,11.95
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,17,11.4
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,142,12.36
"Lancaster County, PA",42071,White,2106-3,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,31,11.61
"Lancaster County, PA",42071,White,2106-3,40-44 years,40-44,8th grade or less,1,Born in the U.S. (50 US States),1,40,6.64
"Lancaster County, PA",42071,White,2106-3,40-44 years,40-44,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,14,6.64
"Lancaster County, PA",42071,White,2106-3,40-44 years,40-44,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,28,10.7
"Lancaster County, PA",42071,White,2106-3,40-44 years,40-44,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,18,10.82
"Lancaster County, PA",42071,White,2106-3,40-44 years,40-44,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,12,12.5
"Lancaster County, PA",42071,White,2106-3,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,31,13.15
"Lancaster County, PA",42071,White,2106-3,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,18,12.19
"Lancaster County, PA",42071,More than one race,M,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,13,10.36
"Lancaster County, PA",42071,More than one race,M,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,11,11.6
"Lancaster County, PA",42071,More than one race,M,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,15,8.92
"Lancaster County, PA",42071,More than one race,M,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,13,10.2
"Lebanon County, PA",42075,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,24,10.46
"Lebanon County, PA",42075,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,21,13
"Lebanon County, PA",42075,White,2106-3,20-24 years,20-24,8th grade or less,1,Born in the U.S. (50 US States),1,15,10.6
"Lebanon County, PA",42075,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,41,9.71
"Lebanon County, PA",42075,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,14,11.57
"Lebanon County, PA",42075,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,113,11.64
"Lebanon County, PA",42075,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,38,11.29
"Lebanon County, PA",42075,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,50,11.65
"Lebanon County, PA",42075,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,10,10.1
"Lebanon County, PA",42075,White,2106-3,20-24 years,20-24,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,12,13.27
"Lebanon County, PA",42075,White,2106-3,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,12,13.42
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,8th grade or less,1,Born in the U.S. (50 US States),1,20,9.95
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,39,8.62
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,115,12.06
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,24,10.92
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,68,12.31
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,18,11.11
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,46,12.24
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,11,14.55
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,70,13.57
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,10,11.6
"Lebanon County, PA",42075,White,2106-3,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,31,14.76
"Lebanon County, PA",42075,White,2106-3,30-34 years,30-34,8th grade or less,1,Born in the U.S. (50 US States),1,11,8.73
"Lebanon County, PA",42075,White,2106-3,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,33,10.85
"Lebanon County, PA",42075,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,78,11.78
"Lebanon County, PA",42075,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,14,12.29
"Lebanon County, PA",42075,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,53,12.31
"Lebanon County, PA",42075,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,48,13.28
"Lebanon County, PA",42075,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,97,13.03
"Lebanon County, PA",42075,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,51,13.08
"Lebanon County, PA",42075,White,2106-3,35-39 years,35-39,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,15,8.53
"Lebanon County, PA",42075,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,29,10.71
"Lebanon County, PA",42075,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,21,16.5
"Lebanon County, PA",42075,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,12,14.75
"Lebanon County, PA",42075,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,33,14.75
"Lebanon County, PA",42075,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,28,14.19
"Lebanon County, PA",42075,White,2106-3,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,10,12.3
"Lehigh County, PA",42077,Asian,A,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,15,11.53
"Lehigh County, PA",42077,Asian,A,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,16,12.69
"Lehigh County, PA",42077,Asian,A,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born outside the U.S. (includes possessions),2,12,12.58
"Lehigh County, PA",42077,Asian,A,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,10,11.4
"Lehigh County, PA",42077,Black or African American,2054-5,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,16,11.06
"Lehigh County, PA",42077,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,47,12.6
"Lehigh County, PA",42077,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,34,11.59
"Lehigh County, PA",42077,Black or African American,2054-5,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,29,11.76
"Lehigh County, PA",42077,Black or African American,2054-5,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,10,8.5
"Lehigh County, PA",42077,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,39,13.11
"Lehigh County, PA",42077,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,26,11.88
"Lehigh County, PA",42077,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,37,13
"Lehigh County, PA",42077,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,12,13.75
"Lehigh County, PA",42077,Black or African American,2054-5,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,18,13
"Lehigh County, PA",42077,Black or African American,2054-5,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,10,10.1
"Lehigh County, PA",42077,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,23,11.74
"Lehigh County, PA",42077,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,21,14.9
"Lehigh County, PA",42077,Black or African American,2054-5,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,26,13.8
"Lehigh County, PA",42077,Black or African American,2054-5,30-34 years,30-34,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,16,11.38
"Lehigh County, PA",42077,Black or African American,2054-5,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,10,15
"Lehigh County, PA",42077,Black or African American,2054-5,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,10,13.4
"Lehigh County, PA",42077,Black or African American,2054-5,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,11,14.55
"Lehigh County, PA",42077,Black or African American,2054-5,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,12,14.75
"Lehigh County, PA",42077,Black or African American,2054-5,35-39 years,35-39,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,12,13.5
"Lehigh County, PA",42077,Black or African American,2054-5,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,13,13
"Lehigh County, PA",42077,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,39,10.85
"Lehigh County, PA",42077,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,18,11.41
"Lehigh County, PA",42077,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,39,10.44
"Lehigh County, PA",42077,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,20,10.6
"Lehigh County, PA",42077,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,34,11.5
"Lehigh County, PA",42077,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,23,9.35
"Lehigh County, PA",42077,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,176,12.24
"Lehigh County, PA",42077,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,76,11.79
"Lehigh County, PA",42077,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,78,12.77
"Lehigh County, PA",42077,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,34,11.47
"Lehigh County, PA",42077,White,2106-3,20-24 years,20-24,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,20,14.55
"Lehigh County, PA",42077,White,2106-3,20-24 years,20-24,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,12,11.5
"Lehigh County, PA",42077,White,2106-3,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,16,14.38
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,25,11.76
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,19,9.68
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,173,11.89
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,69,11.72
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,127,13.39
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,34,13.18
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,85,13.27
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,21,13.43
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,150,13.43
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,29,11.79
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,72,12.71
"Lehigh County, PA",42077,White,2106-3,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,10,14.8
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,21,11.71
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,28,11.79
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,88,13.58
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,46,11.39
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,103,13.25
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,42,12.33
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,64,13.42
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,23,14.09
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,264,13.52
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,41,12.32
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,164,13.95
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,12,14.58
"Lehigh County, PA",42077,White,2106-3,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,28,12.57
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,8th grade or less,1,Born outside the U.S. (includes possessions),2,10,12.7
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,10,11
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,35,13.43
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,26,11.88
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,46,12.46
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,16,10.71
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,28,14.64
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,12,12.36
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,138,13.84
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,15,12
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,98,14.3
"Lehigh County, PA",42077,White,2106-3,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,24,12.62
"Lehigh County, PA",42077,White,2106-3,40-44 years,40-44,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,11,14.64
"Lehigh County, PA",42077,White,2106-3,40-44 years,40-44,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,10,18.2
"Lehigh County, PA",42077,White,2106-3,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,19,15.79
"Lehigh County, PA",42077,White,2106-3,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,12,15.83
"Lehigh County, PA",42077,More than one race,M,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,15,12.33
"Lehigh County, PA",42077,More than one race,M,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,13,14.38
"Luzerne County, PA",42079,Black or African American,2054-5,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,13,8.31
"Luzerne County, PA",42079,Black or African American,2054-5,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,12,7.33
"Luzerne County, PA",42079,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,48,11.04
"Luzerne County, PA",42079,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,15,11.67
"Luzerne County, PA",42079,Black or African American,2054-5,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,21,11.9
"Luzerne County, PA",42079,Black or African American,2054-5,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,12,7.55
"Luzerne County, PA",42079,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,41,9.88
"Luzerne County, PA",42079,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,21,11.38
"Luzerne County, PA",42079,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,33,10.09
"Luzerne County, PA",42079,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,19,10.95
"Luzerne County, PA",42079,Black or African American,2054-5,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,10,9
"Luzerne County, PA",42079,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,32,10.06
"Luzerne County, PA",42079,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,14,14.69
"Luzerne County, PA",42079,Black or African American,2054-5,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,14,14.71
"Luzerne County, PA",42079,Black or African American,2054-5,30-34 years,30-34,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,16,10.93
"Luzerne County, PA",42079,Black or African American,2054-5,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,10,9.8
"Luzerne County, PA",42079,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,48,11.6
"Luzerne County, PA",42079,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,42,10.9
"Luzerne County, PA",42079,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,12,11.08
"Luzerne County, PA",42079,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,43,9.77
"Luzerne County, PA",42079,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,20,10.53
"Luzerne County, PA",42079,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,172,11.57
"Luzerne County, PA",42079,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,64,11.44
"Luzerne County, PA",42079,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,74,12.76
"Luzerne County, PA",42079,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,23,12.23
"Luzerne County, PA",42079,White,2106-3,20-24 years,20-24,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,20,12.2
"Luzerne County, PA",42079,White,2106-3,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,11,13.55
"Luzerne County, PA",42079,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,45,9.3
"Luzerne County, PA",42079,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,18,10.72
"Luzerne County, PA",42079,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,185,11.1
"Luzerne County, PA",42079,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,45,11.91
"Luzerne County, PA",42079,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,132,12.03
"Luzerne County, PA",42079,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,37,10.69
"Luzerne County, PA",42079,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,94,12.67
"Luzerne County, PA",42079,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,107,12.89
"Luzerne County, PA",42079,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,19,11.21
"Luzerne County, PA",42079,White,2106-3,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,27,11.19
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,26,12.15
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,12,8.92
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,101,11.5
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,35,11.91
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,120,12.87
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,24,11.42
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,84,13.03
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,171,12.17
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,17,11.41
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,90,12.85
"Luzerne County, PA",42079,White,2106-3,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,33,13.39
"Luzerne County, PA",42079,White,2106-3,35-39 years,35-39,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,10,10.8
"Luzerne County, PA",42079,White,2106-3,35-39 years,35-39,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,11,13.36
"Luzerne County, PA",42079,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,50,11.8
"Luzerne County, PA",42079,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,23,10.17
